,Bo.,No., ,,Name,Bdld,Gr,Typ,FED,Rtg,Club/City,Pts.,Result,Pts.,,Name,Bdld,Gr,Typ,FED,Rtg,Club/City, ,No.
79,80,331,,,Eastam Setty Keerthi Sai,,,U15,IND,0,Andrapradesh,0,0 - 1,0,,Afreed T Khan,,,,IND,1394,Ap,,83
80,81,84,,,Katari Sajyotsna,,,F11,IND,1393,Ap,0,1 - 0,0,,Eripalli Suresh,,,,IND,0,Andrapradesh,,332
81,82,333,,,Erukali Hareesh,,,,IND,0,Andrapradesh,0,+ - -,0,,Joglekar Abhijit,,,,IND,1392,Mh,,85
82,83,86,,,Vivek Ramanathan V,,,,IND,1391,Tn,0,1 - 0,0,,Gadde Kaarthika,,,F11,IND,0,Tn,,334
83,84,335,,,Gagan Vihari,,,,IND,0,Andrapradesh,0,0 - 1,0,,Navaneetha Krishna,,,,IND,1390,Ka,,87
84,85,88,,,Mahendar B,,,,IND,1385,Tg,0,1 - 0,0,,Gagana Arigonda,,,F15,IND,0,Andrapradesh,,336
85,86,337,,,Gandikota Leela Krishna,,,,IND,0,Andrapradesh,0,0 - 1,0,,Jake Shanty,,,U11,IND,1374,Kl,,89
86,87,90,,,Chemudugunta Dwaraknadh,,,U13,IND,1371,Ap,0,1 - 0,0,,Gilla Pranavdeep,,,U15,IND,0,Tg,,338
87,88,339,,,Godisala Sai Bhanu Prakash,,,U15,IND,0,Tg,0,0 - 1,0,,Sooriya B Y,,,U15,IND,1369,Tn,,91
88,89,22,,FM,Venkata Krishna Karthik K *),,PC/T,,IND,1839,Andrapradesh,0,1 - 0,0,,Pokuri Sai Sri Nanda Gopal,,,U13,IND,1024,Ap,,269
89,90,385,,,Manikanta P,,,U13,IND,0,Andrapradesh,0,0 - 1,0,,Yesu Babuk,,PC,,IND,1247,Ap,,137
90,91,236,,,Varniga R,,,F09,IND,1092,Ap,0,- - -,0,,Venkateswara Rao Ramaraju,,PC,S55,IND,0,Ap,,484
91,92,206,,,Pavanputhiran,,,U11,IND,1140,Ka,0,1 - 0,0,,Somanadh Kandregula,,PC,U09,IND,0,Ap,,454
92,93,451,,,Shivanand Kamble *),,PC,,IND,0,Ka,0,- - +,0,,Sudarshan Balaji,,,U11,IND,1142,Tn,,203
93,94,431,,,Roshan Sai K *),,PC,U15,IND,0,Ap,0,0 - 1,0,,Madhavan V,,,U13,IND,1181,Tn,,183
94,95,204,,,Kiran Kumar A Simpi *),,PC,,IND,1141,Ka,0,1 - 0,0,,Sirigiri Saatvika,,,F09,IND,0,Ap,,452
95,96,24,,,Vijay Anand M.,,,,IND,1811,Tn,0,1 - 0,0,,Kandregula Prahlad,,PC,U13,IND,1022,Ap,,271
96,97,58,,,Ghorghate Sahil *),,PC,,IND,1500,Mh,0,1 - 0,0,,Bhavanya Panchumarthi,,,F09,IND,0,Andrapradesh,,306
97,98,92,,,Tyagi Raghubar Dayal,,,S55,IND,1369,Mh,0,1 - 0,0,,Gouri Syamanaboina,,,F07,IND,0,Tg,,340
98,99,341,,,Gowrav Venkat T,,,U13,IND,0,Andrapradesh,0,0 - 1,0,,Baidya Kaushik,,,,BAN,1368,Bangladesh,,93
99,100,94,,,Raghava Madhavan,,,,IND,1365,Tn,0,1 - 0,0,,Gunashakara Sai Krishna K,,,,IND,0,Andrapradesh,,342
100,101,343,,,Gunjapalli Sri Viraat,,,U09,IND,0,Andrapradesh,0,0 - 1,0,,Upendra T V R,,,,IND,1354,Tg,,95
101,102,96,,,Srikanth Myakala,,,,IND,1352,Tg,0,1 - 0,0,,Gupta Kailash,,,S55,IND,0,Rj,,344
102,103,345,,,Guttula Kadutthu swamy,,,,IND,0,Andrapradesh,0,0 - 1,0,,Makam Rishi Manohar,,,U15,IND,1351,Ap,,97
103,104,98,,,Rama Koteswara Rao G,,,,IND,1347,Ap,0,1 - 0,0,,Gyana Anwita Boddu,,,F09,IND,0,Andrapradesh,,346
104,105,347,,,Gyana Arnika Boddu,,,F09,IND,0,Andrapradesh,0,0 - 1,0,,Chandra Prakash Sankar,,,,IND,1328,Tn,,99
105,106,100,,,Karpagakumar S V S,,,,IND,1328,Py,0,1 - 0,0,,Hari Haran N,,,,IND,0,Tn,,348
106,107,349,,,Harithra Karpagakumar,,,F11,IND,0,Py,0,0 - 1,0,,Mohammed Ibrahim,,,U15,IND,1328,Tn,,101
107,108,102,,,Karthik Arige,,,U15,IND,1324,Tg,0,1 - 0,0,,Harshavardhan Reddy Thambireddy,,,,IND,0,Tg,,350
108,109,351,,,Hema Sai Y,,,,IND,0,Andrapradesh,0,0 - 1,0,,Gupta R K,,,S55,IND,1322,Rj,,103
109,110,104,,,Ravikumar Avuti,,,,IND,1322,Ap,0,1 - 0,0,,Hemanth K,,,,IND,0,Andrapradesh,,352
