,Bo.,No., ,,Name,Rtg,Pts.,Result,Pts.,,Name,Rtg, ,No.
30,31,126,,,Nguyen Duc Dung,1586,0,1 - 0,0,CM,Malik Jan Adiar,2201,,31
31,32,32,,,Shehzad Shazil,2196,0,- - +,0,,Chakkoli Anirud,1585,,127
32,33,128,,,Fourie Brandon,1580,0,0 - 1,0,,Bazyrtsyrenov Kirill,2191,,33
33,34,34,,,Putrenko Kirill,2173,0,1 - 0,0,,Loo Pin Xie,1571,,129
34,35,130,,,Khaled Waleed Abdullah,1568,0,1 - 0,0,,Schlegel Igor,2144,,35
35,36,36,,FM,Madaminov Mukhiddin,2139,0,1 - 0,0,,Trevino Luna Angel Daniel,1564,,131
36,37,132,,,Nissinen Niilo Man,1562,0,0 - 1,0,,Ng Sheng Feng,2136,,37
37,38,38,,CM,Orozbaev Eldiar,2128,0,+ - -,0,,Guilfanov Raphael,1552,,133
38,39,134,,,Ramos Aranda Zahid,1546,0,0 - 1,0,CM,Laohawirapap Prin,2125,,39
39,40,40,,CM,Advait Bagri,2118,0,0 - 1,0,AIM,Taulananda Anon,1543,,135
40,41,136,,,Rossel Grandon Cristobal,1532,0,0 - 1,0,,Nareks Matic,2111,,41
41,42,42,,CM,Tanaka Taira Tyler,2099,0,1 - 0,0,,Saravanabaavan Brijeash,1525,,137
42,43,138,,,Briones Espino Martin Daniel,1523,0,- - +,0,CM,Nakahara Kan,2095,,43
43,44,44,,FM,De Silva L M S T,2085,0,1 - 0,0,,Ajili Rayen,1514,,139
44,45,140,,,Phiri Joe,1510,0,0 - 1,0,,Portal Ramos Cristhian,2083,,45
45,46,46,,,Talibov Shiroghlan,2083,0,1 - 0,0,,Mayta Aiza Maveric,1506,,141
46,47,142,,,Tan Yi Xun,1494,0,0 - 1,0,,Dhrupad Kashyap,2080,,47
47,48,48,,,Swarnavo Choudhury,2079,0,1 - 0,0,,Den Heijer Rolinde,1483,,143
48,49,144,,,Williams Luaidh James,1465,0,0 - 1,0,CM,Issani Nameer,2070,,49
49,50,50,,,Doknjas Neil,2064,0,1 - 0,0,,Dey Ranjan,1462,,145
50,51,146,,,Lee Gerent Chak Yan,1432,0,0 - 1,0,,Garayev Sadig,2064,,51
51,52,52,,,Hernandez Izquierdo Jose A.,2054,0,0 - 1,0,CM,Lwanga Aguda,1422,,147
52,53,148,,,Romero Juan,1410,0,0 - 1,0,,Collin Moritz Valentin,2043,,53
53,54,54,,CM,Aaditya Dhingra,2038,0,1 - 0,0,,Bokang Motsamai,1390,,149
54,55,150,,,Sauti Luyepo,1379,0,- - +,0,,Mamalis Prokopios,2037,,55
55,56,56,,,Vo Pham Thien Phuc,2037,0,1 - 0,0,,Shah Viraj Bhaveshu,1377,,151
56,57,152,,,Kuzmitski Ivan,1354,0,0 - 1,0,CM,Zheng Richard,2036,,57
57,58,58,,,Ong Yi Herng Joel,2033,0,0 - 1,0,,Amarathunga Kosala Sandeepa Chamikara,1353,,153
58,59,154,,,Ragoobar Keagan,1345,0,+ - -,0,,Vaupot Luka,2030,,59
59,60,60,,FM,Cruz Mendez Jean Marco,2018,0,1 - 0,0,,Albury Noah,1337,,155
60,61,156,,,Moreno Fong Dennys,1324,0,0 - 1,0,,Qalichava Akaki,2014,,61
61,62,62,,,Bhattacharyya Soham,2004,0,1 - 0,0,,Theocharous Vassilis,1324,,157
62,63,158,,,Blackford Ross,1319,0,0 - 1,0,,Moreno Perez Tobias Sebastian,2002,,63
63,64,64,,,Abramor Franco,2001,0,1 - 0,0,,Pakkoutis Andreas,1302,,159
64,65,160,,,Millet Nieves Armando,1283,0,0 - 1,0,CM,Ballesteros Cardenas Leonardo,1991,,65
65,66,66,,,Hu Alexander,1979,0,0 - 1,0,,Dafa Sirio,1276,,161
66,67,162,,,Shuping Omphile,1272,0,0 - 1,0,CM,Melian Juan Sebastian,1978,,67
67,68,68,,,Shah Jeet,1976,0,1 - 0,0,,Artemiou Giorgos,1251,,163
68,69,164,,,Sierra Sanchez Tristan O.,1238,0,0 - 1,0,,Lyon Martinez Juan Pablo,1973,,69
69,70,70,,,Kasipour Azbari Seyed Arvin,1970,0,1 - 0,0,,Cani Dejvi,1231,,165
70,71,166,,,Sarmiento Cyle,1230,0,0 - 1,0,,Stefanou Dimitrios,1966,,71
71,72,72,,,Lindholm Gustav,1961,0,0 - 1,0,,Phisitkul Victor Djasli,1220,,167
72,73,168,,,Au Chung Hei,1206,0,0 - 1,0,CM,Batbold Nyamsuren,1954,,73
73,74,74,,,Stoica Savas Marin,1954,0,1 - 0,0,,Kapelos Constantinos,1154,,169
74,75,170,,,Elharrak Youssef,1084,0,- - +,0,,Orrego Palermo Marcelo,1935,,75
75,76,76,,,Shonazarov Orash,1930,0,- - +,0,,Abdel Ahad Mousa Mario,0,,171
76,77,172,,,Adonis Raveon,0,0,0 - 1,0,,Bacojo Mark Jay,1924,,77
77,78,78,,AIM,Oosthuizen Michal Jacobus,1920,0,1 - 0,0,,Al Rashdi Mohammed,0,,173
78,79,174,,,Allotey John,0,0,0 - 1,0,AFM,Mizzi Jack,1919,,79
79,80,80,,,Putar Leon,1918,0,0 - 1,0,,Bai Jinghui,0,,175
80,81,176,,,Barroso Benavides Carlo Gennaro,0,0,1 - 0,0,,Igudin Denis,1909,,81
81,82,82,,CM,Mohamed Saeed Laily,1904,0,1 - 0,0,,De Maupeou D`ableiges Alexandre,0,,177
82,83,178,,,Dheerav K Shah,0,0,0 - 1,0,,Galkin Leonid,1898,,83
83,84,84,,,Collins Adam,1887,0,1 - 0,0,,Fatheka Aksel Aria,0,,179
84,85,180,,,Guerra Ramirez Jorge,0,0,1 - 0,0,,Xhembulla Aleksander,1865,,85
85,86,86,,,Sukhbat Gendendorj,1861,0,1 - 0,0,,Ierotheou Antreas,0,,181
86,87,182,,,Irmuunbileg Mandaasuren,0,0,½ - ½,0,CM,Khalifah Khaled,1860,,87
87,88,88,,AIM,Rodriguez Mathias,1858,0,1 - 0,0,,Iskandarian Edward,0,,183
88,89,184,,,Jeremiah Adjetey,0,0,0 - 1,0,,Reyes Chester Neil,1837,,89
89,90,90,,,Anciaux Adrien,1819,0,0 - 1,0,,Liem Godwin,0,,185
90,91,186,,,Maanvendra Kothari,0,0,0 - 1,0,,Ozsac Samet Harun,1805,,91
91,92,92,,,Jingjang Shin,1801,0,1 - 0,0,,Puran Kishan,0,,187
92,93,188,,,Singh Matthew,0,0,0 - 1,0,,Raats Joppe,1797,,93
93,94,94,,,Cox Toby,1795,0,1 - 0,0,,Woo Woon Cheong Lucas,0,,189
94,95,190,,,Yang Rocky Y,0,0,0 - 1,0,,Rousis Chrysostomos,1775,,95
