,Bo.,No.,Rtg,,Name,Result,,Name,Rtg,No.,PGN
154,5,5,2624,GM,S.L Narayanan,1 - 0,IM,Rithvik R Raja,2408,12,PGN
155,6,6,2351,IM,Swaminathan Soumya,0 - 1,GM,Gukesh D,2578,11,PGN
156,7,7,2476,GM,Vasanthan Perumal Vishnu Prasanna,½ - ½,GM,Sekhar Ganguly Surya,2625,10,PGN
157,8,8,2371,FM,Singhania Vatsal,0 - 1,IM,Krishna Crg,2478,9,PGN
158,9,17,2305,FM,Vinay Kumar Matta,0,,bye,0,-1,
159,Bo.,No.,Rtg,,Name,Result,,Name,Rtg,No.,PGN
160,1,10,2625,GM,Sekhar Ganguly Surya,1 - 0,FM,Singhania Vatsal,2371,8,PGN
161,2,11,2578,GM,Gukesh D,1 - 0,GM,Vasanthan Perumal Vishnu Prasanna,2476,7,PGN
162,3,12,2408,IM,Rithvik R Raja,½ - ½,IM,Swaminathan Soumya,2351,6,PGN
163,4,13,2312,IM,Krishnan P Saravana,0 - 1,GM,S.L Narayanan,2624,5,PGN
164,5,14,2527,GM,Sengupta Deep,1 - 0,GM,P Iniyan,2506,4,PGN
165,6,15,2644,GM,S.p Sethuraman,1 - 0,IM,Mittal Aditya,2438,3,PGN
166,7,16,2660,GM,Baskaran Adhiban,0 - 1,IM,S. Nitin,2381,2,PGN
167,8,17,2305,FM,Vinay Kumar Matta,0 - 1,IM,Srivatshav Peddi Rahul,2463,1,PGN
168,9,9,2478,IM,Krishna Crg,0,,bye,0,-1,
