,Bo.,No., ,,Name,Rtg,Pts.,Result,Pts.,,Name,Rtg, ,No.
40,41,44,,,Hernandez Vazquez Gerardo,1886,0,1 - 0,0,,Maqueda Munguia Mauricio,0,,118
41,42,96,,,Mousa Ahmad,0,0,- - +,0,,Aguirre Adaros Joaquin,1885,,45
42,43,46,,,Vozinaki Anthi - Maria,1861,0,+ - -,0,,Muhammad Azeezah,0,,100
43,44,49,,,Brunel Axel,1827,0,1 - 0,0,,Ntombela Nkosingiphile Gift,0,,132
44,45,135,,,Oleynik Philipp,0,0,+ - -,0,,Roman Sanchez Wilder Xavier,1807,,50
45,46,51,,,Subhash K V,1779,0,1 - 0,0,,Omar Mikhail,0,,123
46,47,106,,,Paschalia Ariawan Felia,0,0,0 - 1,0,,Carrera Puig Jordi Milburgo,1778,,52
47,48,53,,,Chen Yanting,1775,0,0 - 1,0,,Petetin Ednan,0,,105
48,49,128,,,Prasad Navisheel,0,0,0 - 1,0,,Bathula Abhinav Reddy,1735,,54
49,50,55,,,Javier Franchell Eds,1732,0,1 - 0,0,,Pulchny Adrian,0,,93
50,51,140,,,Rajput Vanshika,0,0,+ - -,0,,Asante Debesai Zerabruk,1712,,56
51,52,57,,,Burignat Yohan,1712,0,- - +,0,,Ramos Matheus Dos Santos,0,,117
52,53,97,,,Rokhmad Aji Irawan,0,0,- - +,0,,Francia Arzapalo Gianella,1701,,58
53,54,113,,,Shi Kerri,0,0,0 - 1,0,,Obeysekara T A Sajith Chathuran,1684,,60
54,55,61,,,Cisneros Cardoza Sergio,1666,0,1 - 0,0,,Shiraliyev Inam,0,,107
55,56,114,,,Solanki Lakshay,0,0,1 - 0,0,,Marques Ricardo,1650,,62
56,57,63,,,Stratigi Evangelia,1627,0,1 - 0,0,,Souza Goncalves de Araujo Daniel,0,,103
57,58,91,,,Sree Jayalakshmi,0,0,0 - 1,0,,Reyhan Qomara,1608,,64
58,59,65,,,Santos Rita Alexandra L Silva,1606,0,1 - 0,0,,Vashishth Ayussh,0,,99
59,60,142,,,Velonza Vichristden,0,0,0 - 1,0,,Strzalkowski Damian,1585,,66
60,61,67,,,Aniket Majumdar,1584,0,1 - 0,0,,Verma Mack Mohan,0,,116
61,62,112,,,Vazquez Colin Jorge,0,0,0 - 1,0,,Membrere Merlene,1571,,68
62,63,69,,,Pena Flores Luis Fernando,1570,0,1 - 0,0,,Wadee Muhammed,0,,125
63,64,108,,,Whitaker Isaac,0,0,0 - 1,0,,Anand S,1548,,70
64,65,71,,,Stasiowski Karol,1545,0,0 - 1,0,,Wong Fletcher Michael,0,,121
65,66,144,,,Zhang Xi,0,0,- - +,0,,Rohit Roy Chaudhary,1519,,72
