,Bo.,No., ,,Name,FED,Rtg,Pts.,Result,Pts.,,Name,FED,Rtg, ,No.
35,36,124,,IM,Sahidi Samir,SVK,2436,0,- - +,0,GM,Kovalev Vladislav,FID,2647,,36
36,37,37,,GM,Antipov Mikhail Al.,CFR,2644,0,1 - 0,0,GM,Krasenkow Michal,POL,2430,,125
37,38,126,,IM,Aziz Husain,QAT,2430,0,0 - 1,0,GM,Alekseenko Kirill,CFR,2637,,38
38,39,39,,GM,Iturrizaga Bonelli Eduardo,ESP,2634,0,- - +,0,GM,Tang Andrew,USA,2427,,127
39,40,128,,GM,Nevednichy Vladislav,ROU,2425,0,0 - 1,0,GM,Sjugirov Sanan,CFR,2634,,40
40,41,41,,GM,Riazantsev Alexander,CFR,2632,0,0 - 1,0,GM,Dziuba Marcin,POL,2424,,129
41,42,130,,GM,Cuenca Jimenez Jose Fernando,ESP,2421,0,0 - 1,0,GM,Volokitin Andrei,UKR,2631,,42
42,43,43,,GM,Predke Alexandr,CFR,2630,0,1 - 0,0,GM,Sadzikowski Daniel,POL,2414,,131
43,44,132,,IM,Saraci Nderim,KOS,2414,0,0 - 1,0,GM,Vidit Santosh Gujrathi,IND,2629,,44
44,45,45,,GM,Anton Guijarro David,ESP,2627,0,+ - -,0,IM,Al Qudaimi Basheer,YEM,2412,,133
45,46,134,,IM,Peng Li Min,UKR,2411,0,½ - ½,0,GM,Howell David W L,ENG,2624,,46
46,47,47,,GM,Cheparinov Ivan,BUL,2621,0,1 - 0,0,GM,Dragnev Valentin,AUT,2409,,135
47,48,136,,IM,Blohberger Felix,AUT,2409,0,0 - 1,0,GM,Dreev Aleksey,CFR,2621,,48
48,49,49,,GM,Petrosian Tigran L.,ARM,2621,0,1 - 0,0,IM,Holm Kristian Stuvik,NOR,2409,,137
49,50,138,,GM,Thybo Jesper Sondergaard,DEN,2401,0,½ - ½,0,GM,Santos Latasa Jaime,ESP,2618,,50
50,51,51,,GM,Heimann Andreas,GER,2616,0,0 - 1,0,GM,Jakubowski Krzysztof,POL,2399,,139
51,52,140,,GM,Bellahcene Bilel,ALG,2397,0,1 - 0,0,GM,Amin Bassem,EGY,2614,,52
52,53,53,,GM,Ponkratov Pavel,CFR,2614,0,0 - 1,0,GM,Erigaisi Arjun,IND,2397,,141
53,54,142,,IM,Vastrukhin Oleg,CFR,2382,0,½ - ½,0,GM,Hovhannisyan Robert,ARM,2613,,54
54,55,55,,GM,Efimenko Zahar,UKR,2609,0,½ - ½,0,GM,Martirosyan Haik M.,ARM,2377,,143
55,56,144,,GM,Van Foreest Lucas,NED,2374,0,1 - 0,0,GM,Chigaev Maksim,CFR,2605,,56
56,57,57,,GM,Erdos Viktor,HUN,2601,0,1 - 0,0,IM,Kolosowski Mateusz,POL,2371,,145
57,58,146,,GM,Wieczorek Oskar,POL,2367,0,1 - 0,0,GM,Adly Ahmed,EGY,2597,,58
58,59,59,,GM,Abdusattorov Nodirbek,UZB,2593,0,1 - 0,0,GM,Mikhalevski Victor,ISR,2366,,147
59,60,148,,GM,Ivic Velimir,SRB,2357,0,½ - ½,0,GM,Timofeev Artyom,CFR,2591,,60
60,61,61,,GM,Quparadze Giga,GEO,2583,0,1 - 0,0,GM,Sindarov Javokhir,UZB,2353,,149
61,62,150,,GM,Nasuta Grzegorz,POL,2345,0,0 - 1,0,GM,Gareyev Timur,USA,2578,,62
62,63,63,,GM,Halkias Stelios,GRE,2576,0,½ - ½,0,IM,Teclaf Pawel,POL,2345,,151
63,64,152,,GM,Sargsyan Shant,ARM,2344,0,1 - 0,0,GM,Bluebaum Matthias,GER,2575,,64
64,65,65,,GM,Ter-Sahakyan Samvel,ARM,2573,0,1 - 0,0,IM,Baum Jonasz,POL,2343,,153
65,66,154,,GM,Niemann Hans Moke,USA,2327,0,1 - 0,0,GM,Alonso Rosell Alvar,ESP,2571,,66
66,67,67,,GM,Vakhidov Jakhongir,UZB,2566,0,+ - -,0,FM,Szpar Milosz,POL,2315,,155
67,68,156,,IM,Kuzmicz Krystian,POL,2314,0,0 - 1,0,GM,Najer Evgeniy,CFR,2565,,68
68,69,69,,GM,Van Foreest Jorden,NED,2563,0,1 - 0,0,GM,Asadli Vugar,AZE,2309,,157
69,70,158,,IM,Kosakowski Jakub,POL,2304,0,½ - ½,0,GM,Jumabayev Rinat,KAZ,2562,,70
70,71,71,,GM,Socko Bartosz,POL,2562,0,1 - 0,0,IM,Tologontegin Semetey,KGZ,2300,,159
71,72,160,,GM,Kanarek Marcel,POL,2296,0,0 - 1,0,GM,Corrales Jimenez Fidel,USA,2561,,72
72,73,73,,GM,Theodorou Nikolas,GRE,2559,0,1 - 0,0,IM,Blanco Acevedo Cristobal Jose,VEN,2289,,161
73,74,162,,IM,Lubczynski Rafal,POL,2289,0,0 - 1,0,GM,Ghaem Maghami Ehsan,IRI,2553,,74
74,75,75,,GM,Kozak Adam,HUN,2552,0,0 - 1,0,IM,Muradli Mahammad,AZE,2285,,163
75,76,164,,CM,Petrovskyi Vadym,UKR,2282,0,½ - ½,0,GM,Dvirnyy Danyyil,ITA,2550,,76
76,77,77,,GM,Parligras Mircea-Emilian,ROU,2550,0,½ - ½,0,IM,Sankalp Gupta,IND,2266,,165
77,78,166,,FM,Samunenkov Ihor,UKR,2259,0,1 - 0,0,GM,Shoker Samy,EGY,2550,,78
78,79,79,,GM,Piorun Kacper,POL,2547,0,0 - 1,0,IM,Dudin Gleb,CFR,2247,,167
79,80,168,,FM,Toczek Grzegorz,WLS,2220,0,½ - ½,0,GM,Vokhidov Shamsiddin,UZB,2546,,80
80,81,81,,GM,Demidov Mikhail,CFR,2544,0,1 - 0,0,FM,Klimkowski Jan,POL,2211,,169
81,82,170,,GM,Suleymanli Aydin,AZE,2202,0,1 - 0,0,GM,Indjic Aleksandar,SRB,2544,,82
82,83,83,,GM,Bartel Mateusz,POL,2543,0,1 - 0,0,FM,Lopusiewicz Piotr,POL,2197,,171
83,84,172,,FM,Babazada Khazar,AZE,2170,0,½ - ½,0,GM,Kobalia Mikhail,CFR,2543,,84
84,85,85,,GM,Fridman Daniel,GER,2542,0,1 - 0,0,IM,Mitrabha Guha,IND,2107,,173
85,86,174,,GM,Gukesh D,IND,2050,0,1 - 0,0,GM,Kadric Denis,BIH,2542,,86
86,87,87,,GM,Tari Aryan,NOR,2542,0,1 - 0,0,,Yunusov Mukhammad,TJK,1832,,175
87,88,176,,IM,Aditya Mittal,IND,1488,0,1 - 0,0,GM,Zvjaginsev Vadim,CFR,2539,,88
