,Bo.,No., ,,Name,Rtg,Pts.,Result,Pts.,,Name,Rtg, ,No.,PGN
35,36,36,,,Hald Falkesgaard Jeppe,2048,0,0 - 1,0,,Topuz Mirac Melih,1555,,104,
36,37,105,,,Anghel Teodor-Andrei,1545,0,0 - 1,0,,Prazak Daniel,2043,,37,
37,38,38,,CM,Agasarov Benik,2037,0,1 - 0,0,,Kitaev Daniel,1542,,106,
38,39,107,,,Sandu Andrei-Stefan,1529,0,0 - 1,0,,Brattgjerd Isak Vinh,2027,,39,
39,40,40,,,Ribstein Orel,2015,0,1 - 0,0,,Potgieter Edward,1513,,108,
40,41,109,,,Pham Anh Kien,1483,0,0 - 1,0,CM,Pham Tran Gia Phuc,2011,,41,
41,42,42,,,Nemsadze Daviti,2010,0,1 - 0,0,,Podea Andrei,1478,,110,
42,43,111,,,Genehr Alexandre Kraether,1477,0,0 - 1,0,,Poupalos Nikolaos,2004,,43,
43,44,44,,,Craciun Sasha-Matei,2002,0,½ - ½,0,,Brutski Denis,1475,,112,
44,45,113,,,Abdallah Mohamed Khalil,1464,0,0 - 1,0,,Taran Sebastian,2001,,45,
45,46,46,,,Arsenie Cristian Marc,1998,0,1 - 0,0,,Ortiz Bogdanov Pablo,1462,,114,
46,47,115,,,Mohammed Al Ryami,1458,0,0 - 1,0,,Kazantzoglou Stefanos,1998,,47,
47,48,48,,,Venkatesan Kavin,1997,0,0 - 1,0,,M Mohd Nur Megat Muhd Irfan,1440,,116,
48,49,117,,,Rajandu Aaron,1424,0,½ - ½,0,,Pashikyan Rudolf,1993,,49,
49,50,50,,,Ciomaga Andrei,1986,0,1 - 0,0,,Testelecs Ilja Kuprijans,1421,,118,
50,51,119,,,Fawaz Mohamad,1394,0,0 - 1,0,,Suleimen Ergali,1986,,51,
51,52,52,,,Bagwe Gaurang,1984,0,1 - 0,0,,Humaidan Mohamed Alzaabi,1393,,120,
52,53,121,,,Park Inchan,1384,0,0 - 1,0,CM,Botea David-Alexandru,1982,,53,
53,54,54,,,Gal Andrej,1980,0,½ - ½,0,,Lazovski Kristijan,1381,,122,
54,55,123,,,Tanikeyev Beknur,1367,0,0 - 1,0,,Tamas Christian-Arrydan,1979,,55,
55,56,56,,,John Veny Akkarakaran,1971,0,1 - 0,0,,Sharifov Ramazan,1338,,124,
56,57,125,,,Vijay Rege,1338,0,0 - 1,0,CM,Harish Neeraj,1963,,57,
57,58,58,,,Clotet Mas Dan,1962,0,1 - 0,0,,Radu Silviu Cristian,1321,,126,
58,59,127,,,Kawai Leon,1311,0,0 - 1,0,,Prelipcean Eric-Matei,1961,,59,
59,60,60,,,Saioc David,1958,0,1 - 0,0,,Matei-Catruna Andrei,1311,,128,
60,61,129,,,Khassenov Mansur,1284,0,1 - 0,0,,Bourg Nicolas,1945,,61,
61,62,62,,,Raptis Filippos,1942,0,1 - 0,0,,Kolsi Mohamed Aziz,1274,,130,
62,63,131,,,Ziegenhagen Vian Luke,1158,0,0 - 1,0,,Germanovs Georgijs,1941,,63,
63,64,64,,,Strand Vetle Bjorge,1933,0,1 - 0,0,,Omer Emir Arman,1033,,132,
64,65,134,,,Tanase Andrei V.,1002,0,0 - 1,0,,Karsten Jan,1921,,65,
65,66,66,,,Oksendal Martin,1921,0,1 - 0,0,,Angula Sibusiso,0,,135,
66,67,136,,,Chiras Panagiotis,0,0,0 - 1,0,,Ramaj Ergit,1906,,67,
67,68,68,,,Negrean Andrei,1905,0,1 - 0,0,,Karipi Trevor,0,,137,
