,medium,time_control,age_diff,home_country_diff,rating_diff,players_sex,first_game_diff,n_tour_diff,n_game_diff,score_diff,n_games_higher,n_upset_higher,n_peo,n_upset_peo,upset
166,offline,blitz,-4,0,200.0,MM,0,-5,-19,0.0281512605042016,7,3,1,0,1
167,offline,blitz,-37,0,640.0,MM,0,-1,-9,0.0390282131661441,5,3,0,0,0
168,offline,blitz,-11,-1,619.0,MM,0,-2,-17,0.0764705882352941,7,0,1,0,0
169,offline,blitz,-35,0,781.0,MM,0,-3,-26,0.0585960264900662,20,3,0,0,0
170,offline,blitz,-10,0,368.0,MF,0,-5,-37,0.0147017045454544,23,10,0,0,0
171,offline,blitz,-14,0,692.0,MM,0,-3,-26,0.1598039215686274,15,3,0,0,0
172,offline,blitz,-41,-1,247.0,MM,0,-2,-17,0.0271457317545081,12,0,1,0,0
173,offline,blitz,-15,0,642.0,MM,0,-5,-19,0.0126976284584979,6,3,1,0,0
174,offline,rapid,-20,0,312.0,MM,0,-40,-335,0.0358253433532003,62,18,0,0,0
175,offline,rapid,-5,0,282.0,MM,0,-5,-20,-0.0206643002028398,7,1,0,0,1
176,offline,rapid,-41,-1,313.0,MM,0,-1,-8,0.0122979467016164,4,0,0,0,0
177,offline,rapid,-6,0,558.0,MM,0,-2,-17,0.1156249999999999,4,0,0,0,0
178,offline,rapid,30,0,321.0,MM,0,-25,-210,0.0104593283346985,5,0,0,0,0
179,offline,rapid,-41,0,226.0,MM,0,-4,-15,0.0052677787532924,16,8,0,0,0
180,offline,rapid,-27,0,472.0,MM,0,-2,-17,0.0104392808683854,50,10,0,0,0
181,offline,rapid,-17,0,323.0,MM,0,-5,-20,-0.022005924672027,17,8,0,0,0
182,offline,rapid,-35,0,337.0,MM,0,0,0,0.0,6,1,0,0,0
183,offline,rapid,6,1,260.0,MM,0,-2,-17,-0.0474999999999999,4,0,1,1,0
184,offline,rapid,32,0,478.0,MF,0,-4,-28,0.0115916617962205,5,1,0,0,0
185,offline,rapid,-8,0,271.0,MM,0,-40,-335,0.0452920712592705,52,11,0,0,0
186,offline,rapid,-28,-1,246.0,MM,0,-1,-8,0.2166666666666666,0,0,0,0,0
187,offline,rapid,0,0,406.0,MM,1,-2,-17,0.1176470588235294,4,0,0,0,1
188,offline,rapid,-30,0,461.0,MM,0,-2,-17,0.1918918918918919,5,0,0,0,0
189,offline,rapid,-23,0,275.0,MM,0,-6,-25,0.0143079756339424,4,3,0,0,0
190,offline,rapid,-22,0,506.0,MM,0,-2,-17,0.2629629629629629,4,0,0,0,0
