,tournament_id,start_date,medium,country,time_control,left_fide_id,left_rtg,left_country,left_age,left_sex,right_fide_id,right_rtg,right_country,right_age,right_sex,upset_score,upset,left_home_country,right_home_country,age_diff,home_country_diff,players_sex,rating_diff
63,686538.0,2022/10/21,offline,Malta,standard,1222198.0,1985.0,Romania,30,Male,24653470.0,1774.0,Germany,52,Male,0.0,0,0,0,-22,0,MM,211.0
64,686538.0,2022/10/21,offline,Malta,standard,465917.0,1889.0,England,65,Male,12802140.0,1658.0,Lithuania,56,Male,115.5,1,0,0,9,0,MM,231.0
65,686538.0,2022/10/21,offline,Malta,standard,1180967.0,1876.0,Poland,26,Female,5507979.0,1642.0,Tunisia,72,Male,234.0,1,0,0,-46,0,FM,234.0
66,686538.0,2022/10/21,offline,Malta,standard,2193310.0,1863.0,Brazil,39,Male,835200.0,1658.0,Italy,50,Male,102.5,1,0,0,-11,0,MM,205.0
67,686538.0,2022/10/21,offline,Malta,standard,2031752.0,1922.0,United States of America,64,Male,9007920.0,1698.0,Morocco,27,Male,112.0,1,0,0,37,0,MM,224.0
68,686538.0,2022/10/21,offline,Malta,standard,2134470.0,1979.0,Brazil,28,Female,12802140.0,1658.0,Lithuania,56,Male,160.5,1,0,0,-28,0,FM,321.0
69,686538.0,2022/10/21,offline,Malta,standard,465917.0,1889.0,England,65,Male,835200.0,1658.0,Italy,50,Male,231.0,1,0,0,15,0,MM,231.0
70,686538.0,2022/10/21,offline,Malta,standard,6337848.0,1954.0,Turkiye,26,Male,9007920.0,1698.0,Morocco,27,Male,256.0,1,0,0,-1,0,MM,256.0
71,686538.0,2022/10/21,offline,Malta,standard,1801325.0,1922.0,Wales,65,Male,5507979.0,1642.0,Tunisia,72,Male,0.0,0,0,0,-7,0,MM,280.0
72,686538.0,2022/10/21,offline,Malta,standard,2134470.0,1979.0,Brazil,28,Female,835200.0,1658.0,Italy,50,Male,0.0,0,0,0,-22,0,FM,321.0
73,686538.0,2022/10/21,offline,Malta,standard,2223821.0,1961.0,Spain,51,Male,9007920.0,1698.0,Morocco,27,Male,0.0,0,0,0,24,0,MM,263.0
74,686538.0,2022/10/21,offline,Malta,standard,1112864.0,1936.0,Poland,60,Male,5603315.0,1733.0,Malta,42,Female,0.0,0,0,1,18,-1,MF,203.0
75,686538.0,2022/10/21,offline,Malta,standard,412090.0,1845.0,England,56,Male,5507979.0,1642.0,Tunisia,72,Male,0.0,0,0,0,-16,0,MM,203.0
76,686538.0,2022/10/21,offline,Malta,standard,2500884.0,1932.0,Ireland,65,Male,835200.0,1658.0,Italy,50,Male,0.0,0,0,0,15,0,MM,274.0
77,686539.0,2022/10/21,offline,Malta,standard,5055423.0,1632.0,India,26,Male,1178962.0,1363.0,Poland,64,Male,0.0,0,0,0,-38,0,MM,269.0
78,686539.0,2022/10/21,offline,Malta,standard,204366.0,1629.0,Belgium,76,Male,25850849.0,1334.0,Greece,22,Male,0.0,0,0,0,54,0,MM,295.0
79,686539.0,2022/10/21,offline,Malta,standard,5501962.0,1616.0,Tunisia,68,Male,5018358.0,1321.0,India,41,Male,295.0,1,0,0,27,0,MM,295.0
80,686539.0,2022/10/21,offline,Malta,standard,5267080.0,1612.0,Philippines,40,Male,5601487.0,1285.0,Malta,22,Male,0.0,0,0,1,18,-1,MM,327.0
81,686539.0,2022/10/21,offline,Malta,standard,24518050.0,1610.0,Spain,27,Male,3407136.0,1284.0,Chile,37,Female,0.0,0,0,0,-10,0,MF,326.0
82,686539.0,2022/10/21,offline,Malta,standard,12807656.0,1592.0,Lithuania,38,Male,42144469.0,1263.0,Greece,28,Male,0.0,0,0,0,10,0,MM,329.0
83,686539.0,2022/10/21,offline,Malta,standard,240613.0,1559.0,Belgium,59,Male,5602980.0,1104.0,Malta,69,Male,0.0,0,0,1,-10,-1,MM,455.0
84,686539.0,2022/10/21,offline,Malta,standard,24672033.0,1575.0,Germany,53,Male,4299167.0,1366.0,Greece,31,Male,209.0,1,0,0,22,0,MM,209.0
85,686539.0,2022/10/21,offline,Malta,standard,20690657.0,1670.0,France,52,Male,1187317.0,1355.0,Poland,24,Male,0.0,0,0,0,28,0,MM,315.0
86,686539.0,2022/10/21,offline,Malta,standard,1620720.0,1597.0,Austria,70,Male,5602980.0,1104.0,Malta,69,Male,0.0,0,0,1,1,-1,MM,493.0
87,686539.0,2022/10/21,offline,Malta,standard,5267080.0,1612.0,Philippines,40,Male,4299167.0,1366.0,Greece,31,Male,0.0,0,0,0,9,0,MM,246.0
88,686539.0,2022/10/21,offline,Malta,standard,12807656.0,1592.0,Lithuania,38,Male,25850849.0,1334.0,Greece,22,Male,0.0,0,0,0,16,0,MM,258.0
89,686539.0,2022/10/21,offline,Malta,standard,2624443.0,1591.0,Canada,53,Male,3407136.0,1284.0,Chile,37,Female,0.0,0,0,0,16,0,MF,307.0
90,686539.0,2022/10/21,offline,Malta,standard,24672033.0,1575.0,Germany,53,Male,5601487.0,1285.0,Malta,22,Male,290.0,1,0,1,31,-1,MM,290.0
91,686539.0,2022/10/21,offline,Malta,standard,240613.0,1559.0,Belgium,59,Male,42144469.0,1263.0,Greece,28,Male,0.0,0,0,0,31,0,MM,296.0
92,686539.0,2022/10/21,offline,Malta,standard,28545265.0,1515.0,Italy,35,Male,5601487.0,1285.0,Malta,22,Male,0.0,0,0,1,13,-1,MM,230.0
93,686539.0,2022/10/21,offline,Malta,standard,5501962.0,1616.0,Tunisia,68,Male,1178962.0,1363.0,Poland,64,Male,0.0,0,0,0,4,0,MM,253.0
94,686539.0,2022/10/21,offline,Malta,standard,1620720.0,1597.0,Austria,70,Male,42144469.0,1263.0,Greece,28,Male,167.0,1,0,0,42,0,MM,334.0
95,686539.0,2022/10/21,offline,Malta,standard,5806461.0,1534.0,Singapore,34,Male,5018358.0,1321.0,India,41,Male,0.0,0,0,0,-7,0,MM,213.0
96,686539.0,2022/10/21,offline,Malta,standard,204366.0,1629.0,Belgium,76,Male,4005783.0,1421.0,Luxembourg,37,Male,0.0,0,0,0,39,0,MM,208.0
97,686539.0,2022/10/21,offline,Malta,standard,5501962.0,1616.0,Tunisia,68,Male,3638235.0,1401.0,Ecuador,41,Male,0.0,0,0,0,27,0,MM,215.0
98,686539.0,2022/10/21,offline,Malta,standard,10658190.0,1516.0,Egypt,27,Male,3407136.0,1284.0,Chile,37,Female,0.0,0,0,0,-10,0,MF,232.0
99,686539.0,2022/10/21,offline,Malta,standard,343408370.0,1499.0,England,42,Male,5601487.0,1285.0,Malta,22,Male,0.0,0,0,1,20,-1,MM,214.0
100,686539.0,2022/10/21,offline,Malta,standard,24518050.0,1610.0,Spain,27,Male,4299167.0,1366.0,Greece,31,Male,244.0,1,0,0,-4,0,MM,244.0
101,686539.0,2022/10/21,offline,Malta,standard,2624443.0,1591.0,Canada,53,Male,5018358.0,1321.0,India,41,Male,270.0,1,0,0,12,0,MM,270.0
102,686539.0,2022/10/21,offline,Malta,standard,240613.0,1559.0,Belgium,59,Male,1187317.0,1355.0,Poland,24,Male,102.0,1,0,0,35,0,MM,204.0
103,686539.0,2022/10/21,offline,Malta,standard,466999.0,1490.0,England,65,Male,5601487.0,1285.0,Malta,22,Male,102.5,1,0,1,43,-1,MM,205.0
104,686539.0,2022/10/21,offline,Malta,standard,4426533.0,1628.0,Colombia,65,Male,4299167.0,1366.0,Greece,31,Male,262.0,1,0,0,34,0,MM,262.0
105,686539.0,2022/10/21,offline,Malta,standard,20690657.0,1670.0,France,52,Male,25850849.0,1334.0,Greece,22,Male,0.0,0,0,0,30,0,MM,336.0
106,686539.0,2022/10/21,offline,Malta,standard,12807656.0,1592.0,Lithuania,38,Male,4299167.0,1366.0,Greece,31,Male,113.0,1,0,0,7,0,MM,226.0
107,686539.0,2022/10/21,offline,Malta,standard,4426533.0,1628.0,Colombia,65,Male,1178962.0,1363.0,Poland,64,Male,0.0,0,0,0,1,0,MM,265.0
108,686539.0,2022/10/21,offline,Malta,standard,5601746.0,1506.0,Malta,43,Male,3407136.0,1284.0,Chile,37,Female,0.0,0,1,0,6,1,MF,222.0
109,686539.0,2022/10/21,offline,Malta,standard,1620720.0,1597.0,Austria,70,Male,5601487.0,1285.0,Malta,22,Male,0.0,0,0,1,48,-1,MM,312.0
110,686539.0,2022/10/21,offline,Malta,standard,20690657.0,1670.0,France,52,Male,5018358.0,1321.0,India,41,Male,174.5,1,0,0,11,0,MM,349.0
111,686539.0,2022/10/21,offline,Malta,standard,24518050.0,1610.0,Spain,27,Male,3638235.0,1401.0,Ecuador,41,Male,104.5,1,0,0,-14,0,MM,209.0
112,686539.0,2022/10/21,offline,Malta,standard,24672033.0,1575.0,Germany,53,Male,1187317.0,1355.0,Poland,24,Male,110.0,1,0,0,29,0,MM,220.0
113,683767.0,2022/10/15,offline,Spain,blitz,1122452.0,2526.0,Poland,34,Male,307440.0,1955.0,Czech Republic,44,Male,0.0,0,0,0,-10,0,MM,571.0
114,683767.0,2022/10/15,offline,Spain,blitz,2800020.0,2382.0,Israel,66,Male,1110489.0,1497.0,Poland,71,Male,0.0,0,0,0,-5,0,MM,885.0
115,683767.0,2022/10/15,offline,Spain,blitz,13503391.0,2278.0,Israel,36,Male,1126423.0,1913.0,Poland,34,Female,0.0,0,0,0,2,0,MF,365.0
116,683767.0,2022/10/15,offline,Spain,blitz,13503391.0,2278.0,Israel,36,Male,1137778.0,1958.0,Poland,41,Male,160.0,1,0,0,-5,0,MM,320.0
117,683767.0,2022/10/15,offline,Spain,blitz,1103520.0,2189.0,Poland,57,Male,1126423.0,1913.0,Poland,34,Female,276.0,1,0,0,23,0,MF,276.0
118,683767.0,2022/10/15,offline,Spain,blitz,14511444.0,2010.0,Croatia,36,Male,1110489.0,1497.0,Poland,71,Male,0.0,0,0,0,-35,0,MM,513.0
119,683767.0,2022/10/15,offline,Spain,blitz,1122452.0,2526.0,Poland,34,Male,1116657.0,2084.0,Poland,45,Male,0.0,0,0,0,-11,0,MM,442.0
120,683767.0,2022/10/15,offline,Spain,blitz,1122452.0,2526.0,Poland,34,Male,1137778.0,1958.0,Poland,41,Male,0.0,0,0,0,-7,0,MM,568.0
121,683767.0,2022/10/15,offline,Spain,blitz,16249976.0,1886.0,Germany,71,Male,1110489.0,1497.0,Poland,71,Male,389.0,1,0,0,0,0,MM,389.0
122,683767.0,2022/10/15,offline,Spain,blitz,1173065.0,2281.0,Poland,24,Male,14511444.0,2010.0,Croatia,36,Male,0.0,0,0,0,-12,0,MM,271.0
123,683767.0,2022/10/15,offline,Spain,blitz,2800020.0,2382.0,Israel,66,Male,1126423.0,1913.0,Poland,34,Female,0.0,0,0,0,32,0,MF,469.0
124,683767.0,2022/10/15,offline,Spain,blitz,1103520.0,2189.0,Poland,57,Male,1137778.0,1958.0,Poland,41,Male,231.0,1,0,0,16,0,MM,231.0
125,683767.0,2022/10/15,offline,Spain,blitz,1173065.0,2281.0,Poland,24,Male,16249976.0,1886.0,Germany,71,Male,0.0,0,0,0,-47,0,MM,395.0
126,683767.0,2022/10/15,offline,Spain,blitz,1119052.0,1884.0,Poland,49,Male,1110489.0,1497.0,Poland,71,Male,0.0,0,0,0,-22,0,MM,387.0
127,683767.0,2022/10/15,offline,Spain,blitz,1116657.0,2084.0,Poland,45,Male,32022859.0,1763.0,Spain,77,Male,0.0,0,0,1,-32,-1,MM,321.0
128,683767.0,2022/10/15,offline,Spain,blitz,1122452.0,2526.0,Poland,34,Male,1102699.0,2055.0,Poland,65,Male,0.0,0,0,0,-31,0,MM,471.0
129,683767.0,2022/10/15,offline,Spain,blitz,1122452.0,2526.0,Poland,34,Male,32022859.0,1763.0,Spain,77,Male,0.0,0,0,1,-43,-1,MM,763.0
130,683767.0,2022/10/15,offline,Spain,blitz,307440.0,1955.0,Czech Republic,44,Male,1110489.0,1497.0,Poland,71,Male,0.0,0,0,0,-27,0,MM,458.0
131,683767.0,2022/10/15,offline,Spain,blitz,1173065.0,2281.0,Poland,24,Male,1119052.0,1884.0,Poland,49,Male,198.5,1,0,0,-25,0,MM,397.0
132,683767.0,2022/10/15,offline,Spain,blitz,13503391.0,2278.0,Israel,36,Male,14511444.0,2010.0,Croatia,36,Male,0.0,0,0,0,0,0,MM,268.0
133,683767.0,2022/10/15,offline,Spain,blitz,2800020.0,2382.0,Israel,66,Male,1137778.0,1958.0,Poland,41,Male,0.0,0,0,0,25,0,MM,424.0
134,683767.0,2022/10/15,offline,Spain,blitz,13503391.0,2278.0,Israel,36,Male,16249976.0,1886.0,Germany,71,Male,0.0,0,0,0,-35,0,MM,392.0
135,683767.0,2022/10/15,offline,Spain,blitz,1173065.0,2281.0,Poland,24,Male,307440.0,1955.0,Czech Republic,44,Male,0.0,0,0,0,-20,0,MM,326.0
136,683767.0,2022/10/15,offline,Spain,blitz,1116657.0,2084.0,Poland,45,Male,1110489.0,1497.0,Poland,71,Male,0.0,0,0,0,-26,0,MM,587.0
137,683767.0,2022/10/15,offline,Spain,blitz,1102699.0,2055.0,Poland,65,Male,32022859.0,1763.0,Spain,77,Male,0.0,0,0,1,-12,-1,MM,292.0
138,683767.0,2022/10/15,offline,Spain,blitz,1122452.0,2526.0,Poland,34,Male,1110489.0,1497.0,Poland,71,Male,0.0,0,0,0,-37,0,MM,1029.0
139,683767.0,2022/10/15,offline,Spain,blitz,13503391.0,2278.0,Israel,36,Male,1119052.0,1884.0,Poland,49,Male,0.0,0,0,0,-13,0,MM,394.0
140,683767.0,2022/10/15,offline,Spain,blitz,1103520.0,2189.0,Poland,57,Male,16249976.0,1886.0,Germany,71,Male,0.0,0,0,0,-14,0,MM,303.0
141,683767.0,2022/10/15,offline,Spain,blitz,2800020.0,2382.0,Israel,66,Male,14511444.0,2010.0,Croatia,36,Male,0.0,0,0,0,30,0,MM,372.0
142,683767.0,2022/10/15,offline,Spain,blitz,2800020.0,2382.0,Israel,66,Male,16249976.0,1886.0,Germany,71,Male,0.0,0,0,0,-5,0,MM,496.0
143,683767.0,2022/10/15,offline,Spain,blitz,1103520.0,2189.0,Poland,57,Male,1119052.0,1884.0,Poland,49,Male,0.0,0,0,0,8,0,MM,305.0
144,683767.0,2022/10/15,offline,Spain,blitz,13503391.0,2278.0,Israel,36,Male,307440.0,1955.0,Czech Republic,44,Male,0.0,0,0,0,-8,0,MM,323.0
145,683767.0,2022/10/15,offline,Spain,blitz,1122452.0,2526.0,Poland,34,Male,1173065.0,2281.0,Poland,24,Male,122.5,1,0,0,10,0,MM,245.0
146,683767.0,2022/10/15,offline,Spain,blitz,1102699.0,2055.0,Poland,65,Male,1110489.0,1497.0,Poland,71,Male,0.0,0,0,0,-6,0,MM,558.0
147,683767.0,2022/10/15,offline,Spain,blitz,32022859.0,1763.0,Spain,77,Male,1110489.0,1497.0,Poland,71,Male,266.0,1,1,0,6,1,MM,266.0
148,683767.0,2022/10/15,offline,Spain,blitz,1173065.0,2281.0,Poland,24,Male,1102699.0,2055.0,Poland,65,Male,0.0,0,0,0,-41,0,MM,226.0
149,683767.0,2022/10/15,offline,Spain,blitz,1122452.0,2526.0,Poland,34,Male,1126423.0,1913.0,Poland,34,Female,0.0,0,0,0,0,0,MF,613.0
150,683767.0,2022/10/15,offline,Spain,blitz,1103520.0,2189.0,Poland,57,Male,307440.0,1955.0,Czech Republic,44,Male,117.0,1,0,0,13,0,MM,234.0
151,683767.0,2022/10/15,offline,Spain,blitz,2800020.0,2382.0,Israel,66,Male,1119052.0,1884.0,Poland,49,Male,0.0,0,0,0,17,0,MM,498.0
152,683767.0,2022/10/15,offline,Spain,blitz,2800020.0,2382.0,Israel,66,Male,307440.0,1955.0,Czech Republic,44,Male,0.0,0,0,0,22,0,MM,427.0
153,683767.0,2022/10/15,offline,Spain,blitz,1122452.0,2526.0,Poland,34,Male,13503391.0,2278.0,Israel,36,Male,0.0,0,0,0,-2,0,MM,248.0
154,683767.0,2022/10/15,offline,Spain,blitz,1173065.0,2281.0,Poland,24,Male,32022859.0,1763.0,Spain,77,Male,0.0,0,0,1,-53,-1,MM,518.0
155,683767.0,2022/10/15,offline,Spain,blitz,1137778.0,1958.0,Poland,41,Male,1110489.0,1497.0,Poland,71,Male,0.0,0,0,0,-30,0,MM,461.0
156,683767.0,2022/10/15,offline,Spain,blitz,13503391.0,2278.0,Israel,36,Male,1102699.0,2055.0,Poland,65,Male,0.0,0,0,0,-29,0,MM,223.0
