Name,FideID,Rtg
dummy,dummy,dummy
Stachanczyk Jacek,1116657,2088
Glazar Domagoj,14511444,2070
Suder Ryszard,1102699,2055
Migala Andrzej,1119052,2003
Andriienko Artom,34129510,1985
Valenta Vit Vaclav,307440,1969
Wolanski Michal,1137778,1958
Stolarczyk Anna,1126423,1913
Smolin Stefan,16249976,1903
Nazarov Nicolai,32022859,1757
Pilimon Zbigniew,1110489,1497
"Mordasini, Gessinah",16279050,1170
"Dekoker,Patricia",224928,1150
"Merrifield,Peter",1802410,1121
"Höfer,Frank,Dr.",,1118
"Lippert,Marc",16239717,1114
"Sacherer,Karl",1666487,1086
"Hirn,Jana",16279891,1063
"Slot,Wilhelm",,0
"Hindermann, Christian",,0
"Adalsteinsdottir,Audur",,0
"Werther,Oliver",,0
"Braams,Herbert",,0
"Harbich,Jürgen,Dr.",,0
"Whicher,William",,0
"Sanders,Tim",431516,0
"Tedd,Bernie",499552,0
"Gerlach,Herwig,Dr.",,0
"Borchert,Andreas",16212770,1990
"Thelen,Armin",24633909,1990
"Mittendorfer,Josef",1611461,1989
"Brehme,Ralf-Peter",24624624,1982
"Tiede,Andreas",4696719,1982
"Stollberg,Michael",,1979
"Boyens,Birger",1271102,1978
"Warsitz,Hubert,Dr.",24630764,1977
"Hehn,Hartmut",4629027,1973
"Schäfer,Martin",24683787,1970
"Huber,Guenther",1609165,1967
"Unger,Franz",4681746,1966
"Oelmann,Henry",24628670,1959
"Hansel,Rainer",12969257,1949
"Wood,Peter R",422215,1947
"Schulte,Stefan",34616160,1945
"Fortagne,Andre",24611255,1939
"Heid,Michael",16276949,1936
"Van de Wynkele,Rudy",203823,1936
"Geyler,Stefan,Dr.",24605638,1933
"Frühauf,Norbert",1605259,1924
"Ludin, Hubert",1304950,1923
"Polanyi,Peter",1304321,1917
"Flohr,Marcel",1025082,1916
"Zimmermann,Curt",1657950,1912
"Flohr,Ron",1001981,1909
"Ritter,Uwe",12903892,1907
"Erwich,Frans",1004638,1902
"Burer,Audry",1018086,1897
"Morgenstern,Martin,Dr.",34607870,1896
"Sobotnik,Petr",359009,1895
"Hälsig,Günter,Dr.",12933635,1894
"Flohr,Dennis",1023799,1890
"Ridge,Michael",2401894,1880
"Burer,Humphrey",1069985,1879
"Tabin,Rene",1315900,1861
"Harstad,Christian",1504045,1857
"Hilbenz,Guntram,Dr.",4686586,1857
"Spinhoven,John",1060740,1853
"Bajec,Tomaz",14628775,1852
"Synnestvedt,Jan",1506498,1848
"Schreyer,Klaus",4696662,1842
"Moje,Hans-Juergen",12911038,1839
"Nussbaumer,Josef",1605399,1837
"Oppermann,Peter",24686506,1833
"Szentmihalyi,Tamas",718556,1828
"Meurer,Alexander",16262760,1816
"Aigner,Georg",4691334,1809
"Stehle,Ottmar",16247094,1809
"Frisk,Anders",1718797,1802
"Ennenbach,Ralph,Dr.",4629086,2235
"Esser,Michael,Dr.",12917427,2170
"Roth,Martin",4651065,2009
"Kannenberg,Karl-Heinz",4643348,2139
"Lagerborg,Krister",1712411,2129
"Berg,Anders Hoyer",1501437,2115
"Grüttner,Ralf",4638158,2115
"Thirion,Marcel",202053,2105
"Tückmantel,Rene",24618012,2097
"Biro,Sandor",1200178,2084
"Hater,Wolfgang,Dr.",12976865,2084
"Chaverra,Bismarck",4401816,2083
"Schnellenpfeil,Wolfgang,Dr.",6000207,2079
"Jahn,Peter",12989614,2068
"Matzat,Andre",4663217,2057
"Edoecs,Joseph",1309404,2033
"Tissink,Arjan",1015150,2033
"Schott,Guido",4646746,2028
"Templin,Klaus-Dieter",24676772,2025
"Hunold,Rolf",4678516,2020
"Ilandzis,Spyridon",4200276,2017
"Sonder,Peter",1013017,2006
"Ebenezer,Joseph",5003377,2005
"Rewerts,Ingo",12968730,1799
"Theuer,Carsten",16213602,1799
"Pauthner,Franz",16208234,1789
"Piotrowski,Roger",12972894,1785
"Beck,Andreas",12941522,1783
"Romanelli,Robert",201936,1777
"Winter,Kevin",421960,1775
"Hartges,Michael",,1772
