tournament_id,url,location,medium,time_control
636369,https://chess-results.com/tnr636369.aspx?lan=1,"Kos, Greece",offline,5 min
632638,https://chess-results.com/tnr632638.aspx?lan=1,Kos,offline,"40/1,5  all/0,25"
632511,https://chess-results.com/tnr632511.aspx?lan=1,Kos,offline,"40/1,5  all/0,25"
632509,https://chess-results.com/tnr632509.aspx?lan=1,Kos,offline,"40/1,5  all/0,25"
632507,https://chess-results.com/tnr632507.aspx?lan=1,Kos,offline,"40/1,5  all/0,25"
632498,https://chess-results.com/tnr632498.aspx?lan=1,Kos,offline,"40/1,5  all/0,25"
635726,https://chess-results.com/tnr635726.aspx?lan=1,Mumbai,offline,15 Mins + 3 sec
635717,https://chess-results.com/tnr635717.aspx?lan=1,Mumbai,offline,15 Mins + 3 sec
635708,https://chess-results.com/tnr635708.aspx?lan=1,Mumbai,offline,15 Mins + 3 sec
635704,https://chess-results.com/tnr635704.aspx?lan=1,Mumbai,offline,15 Mins + 3 sec
635719,https://chess-results.com/tnr635719.aspx?lan=1,Mumbai,offline,15 Mins + 3 sec
635713,https://chess-results.com/tnr635713.aspx?lan=1,Mumbai,offline,15 Mins + 3 sec
633943,https://chess-results.com/tnr633943.aspx?lan=1,"Rhodes, Greece",offline,"5'/game & 2""/move"
633941,https://chess-results.com/tnr633941.aspx?lan=1,"Rhodes, Greece",offline,"5'/game & 2""/move"
633940,https://chess-results.com/tnr633940.aspx?lan=1,"Rhodes, Greece",offline,"5'/game & 2""/move"
633939,https://chess-results.com/tnr633939.aspx?lan=1,"Rhodes, Greece",offline,"5'/game & 2""/move"
633938,https://chess-results.com/tnr633938.aspx?lan=1,"Rhodes, Greece",offline,"5'/game & 2""/move"
633937,https://chess-results.com/tnr633937.aspx?lan=1,"Rhodes, Greece",offline,"5'/game & 2""/move"
633936,https://chess-results.com/tnr633936.aspx?lan=1,"Rhodes, Greece",offline,"5'/game & 2""/move"
633933,https://chess-results.com/tnr633933.aspx?lan=1,"Rhodes, Greece",offline,"5'/game & 2""/move"
633932,https://chess-results.com/tnr633932.aspx?lan=1,"Rhodes, Greece",offline,"5'/game & 2""/move"
633931,https://chess-results.com/tnr633931.aspx?lan=1,"Rhodes, Greece",offline,"5'/game & 2""/move"
633930,https://chess-results.com/tnr633930.aspx?lan=1,"Rhodes, Greece",offline,"5'/game & 2""/move"
633929,https://chess-results.com/tnr633929.aspx?lan=1,"Rhodes, Greece",offline,"5'/game & 2""/move"
633586,https://chess-results.com/tnr633586.aspx?lan=1,"Rhodes, Greece",offline,"10'/game & 5""/move"
633590,https://chess-results.com/tnr633590.aspx?lan=1,"Rhodes, Greece",offline,"10'/game & 5""/move"
633588,https://chess-results.com/tnr633588.aspx?lan=1,"Rhodes, Greece",offline,"10'/game & 5""/move"
