,upset_score,tournament_id,left_fide_id,left_rtg,right_fide_id,right_rtg,location,medium,time_control
34,0.0,686538,835200,1658,4426720,1866,"Mellieha, Malta",offline,90min+30sec/move
35,0.0,686538,2193310,1863,12802140,1658,"Mellieha, Malta",offline,90min+30sec/move
36,0.0,686538,5507979,1642,1189395,1846,"Mellieha, Malta",offline,90min+30sec/move
0,0.0,670407,5123119,2345,24175439,2668,Cala Gonone - Dorgali (NU),offline,90'/40 moves + 30' + 30'' bonus
1,111.0,670407,24198455,2567,14207346,2345,Cala Gonone - Dorgali (NU),offline,90'/40 moves + 30' + 30'' bonus
2,0.0,670407,46609148,2345,12923044,2566,Cala Gonone - Dorgali (NU),offline,90'/40 moves + 30' + 30'' bonus
3,0.0,670407,35028561,2558,2824383,2337,Cala Gonone - Dorgali (NU),offline,90'/40 moves + 30' + 30'' bonus
4,0.0,670407,25035525,2333,44155573,2557,Cala Gonone - Dorgali (NU),offline,90'/40 moves + 30' + 30'' bonus
4,0.0,670407,25035525,2333,44155573,2557,Cala Gonone - Dorgali (NU),offline,90'/40 moves + 30' + 30'' bonus
4,0.0,670407,25035525,2333,44155573,2557,Cala Gonone - Dorgali (NU),offline,90'/40 moves + 30' + 30'' bonus
4,0.0,670407,25035525,2333,44155573,2557,Cala Gonone - Dorgali (NU),offline,90'/40 moves + 30' + 30'' bonus
5,0.0,670407,950122,2553,25095927,2332,Cala Gonone - Dorgali (NU),offline,90'/40 moves + 30' + 30'' bonus
5,0.0,670407,950122,2553,25095927,2332,Cala Gonone - Dorgali (NU),offline,90'/40 moves + 30' + 30'' bonus
5,0.0,670407,950122,2553,25095927,2332,Cala Gonone - Dorgali (NU),offline,90'/40 moves + 30' + 30'' bonus
6,241.0,670407,2138298,2309,13409301,2550,Cala Gonone - Dorgali (NU),offline,90'/40 moves + 30' + 30'' bonus
6,241.0,670407,2138298,2309,13409301,2550,Cala Gonone - Dorgali (NU),offline,90'/40 moves + 30' + 30'' bonus
6,241.0,670407,2138298,2309,13409301,2550,Cala Gonone - Dorgali (NU),offline,90'/40 moves + 30' + 30'' bonus
7,0.0,670407,25002767,2541,2825380,2306,Cala Gonone - Dorgali (NU),offline,90'/40 moves + 30' + 30'' bonus
7,0.0,670407,25002767,2541,2825380,2306,Cala Gonone - Dorgali (NU),offline,90'/40 moves + 30' + 30'' bonus
7,0.0,670407,25002767,2541,2825380,2306,Cala Gonone - Dorgali (NU),offline,90'/40 moves + 30' + 30'' bonus
7,0.0,670407,25002767,2541,2825380,2306,Cala Gonone - Dorgali (NU),offline,90'/40 moves + 30' + 30'' bonus
8,0.0,670407,1942255,2306,895733,2531,Cala Gonone - Dorgali (NU),offline,90'/40 moves + 30' + 30'' bonus
9,0.0,670407,960047,2524,2825759,2305,Cala Gonone - Dorgali (NU),offline,90'/40 moves + 30' + 30'' bonus
10,0.0,670407,777765,2298,4902920,2522,Cala Gonone - Dorgali (NU),offline,90'/40 moves + 30' + 30'' bonus
10,0.0,670407,777765,2298,4902920,2522,Cala Gonone - Dorgali (NU),offline,90'/40 moves + 30' + 30'' bonus
10,0.0,670407,777765,2298,4902920,2522,Cala Gonone - Dorgali (NU),offline,90'/40 moves + 30' + 30'' bonus
10,0.0,670407,777765,2298,4902920,2522,Cala Gonone - Dorgali (NU),offline,90'/40 moves + 30' + 30'' bonus
10,0.0,670407,777765,2298,4902920,2522,Cala Gonone - Dorgali (NU),offline,90'/40 moves + 30' + 30'' bonus
10,0.0,670407,777765,2298,4902920,2522,Cala Gonone - Dorgali (NU),offline,90'/40 moves + 30' + 30'' bonus
10,0.0,670407,777765,2298,4902920,2522,Cala Gonone - Dorgali (NU),offline,90'/40 moves + 30' + 30'' bonus
10,0.0,670407,777765,2298,4902920,2522,Cala Gonone - Dorgali (NU),offline,90'/40 moves + 30' + 30'' bonus
10,0.0,670407,777765,2298,4902920,2522,Cala Gonone - Dorgali (NU),offline,90'/40 moves + 30' + 30'' bonus
10,0.0,670407,777765,2298,4902920,2522,Cala Gonone - Dorgali (NU),offline,90'/40 moves + 30' + 30'' bonus
11,0.0,670407,1734687,2520,513024,2297,Cala Gonone - Dorgali (NU),offline,90'/40 moves + 30' + 30'' bonus
12,0.0,670407,2820927,2293,13308327,2517,Cala Gonone - Dorgali (NU),offline,90'/40 moves + 30' + 30'' bonus
13,0.0,670407,753246,2516,3822508,2291,Cala Gonone - Dorgali (NU),offline,90'/40 moves + 30' + 30'' bonus
13,0.0,670407,753246,2516,3822508,2291,Cala Gonone - Dorgali (NU),offline,90'/40 moves + 30' + 30'' bonus
13,0.0,670407,753246,2516,3822508,2291,Cala Gonone - Dorgali (NU),offline,90'/40 moves + 30' + 30'' bonus
13,0.0,670407,753246,2516,3822508,2291,Cala Gonone - Dorgali (NU),offline,90'/40 moves + 30' + 30'' bonus
13,0.0,670407,753246,2516,3822508,2291,Cala Gonone - Dorgali (NU),offline,90'/40 moves + 30' + 30'' bonus
13,0.0,670407,753246,2516,3822508,2291,Cala Gonone - Dorgali (NU),offline,90'/40 moves + 30' + 30'' bonus
13,0.0,670407,753246,2516,3822508,2291,Cala Gonone - Dorgali (NU),offline,90'/40 moves + 30' + 30'' bonus
13,0.0,670407,753246,2516,3822508,2291,Cala Gonone - Dorgali (NU),offline,90'/40 moves + 30' + 30'' bonus
13,0.0,670407,753246,2516,3822508,2291,Cala Gonone - Dorgali (NU),offline,90'/40 moves + 30' + 30'' bonus
14,0.0,670407,248886,2287,13611860,2512,Cala Gonone - Dorgali (NU),offline,90'/40 moves + 30' + 30'' bonus
15,118.5,670407,2921642,2511,2828995,2274,Cala Gonone - Dorgali (NU),offline,90'/40 moves + 30' + 30'' bonus
16,0.0,670407,2816453,2267,1642561,2505,Cala Gonone - Dorgali (NU),offline,90'/40 moves + 30' + 30'' bonus
17,0.0,670407,13404938,2499,13715658,2262,Cala Gonone - Dorgali (NU),offline,90'/40 moves + 30' + 30'' bonus
17,0.0,670407,13404938,2499,13715658,2262,Cala Gonone - Dorgali (NU),offline,90'/40 moves + 30' + 30'' bonus
17,0.0,670407,13404938,2499,13715658,2262,Cala Gonone - Dorgali (NU),offline,90'/40 moves + 30' + 30'' bonus
18,121.0,670407,5216184,2251,1632051,2493,Cala Gonone - Dorgali (NU),offline,90'/40 moves + 30' + 30'' bonus
18,121.0,670407,5216184,2251,1632051,2493,Cala Gonone - Dorgali (NU),offline,90'/40 moves + 30' + 30'' bonus
18,121.0,670407,5216184,2251,1632051,2493,Cala Gonone - Dorgali (NU),offline,90'/40 moves + 30' + 30'' bonus
18,121.0,670407,5216184,2251,1632051,2493,Cala Gonone - Dorgali (NU),offline,90'/40 moves + 30' + 30'' bonus
18,121.0,670407,5216184,2251,1632051,2493,Cala Gonone - Dorgali (NU),offline,90'/40 moves + 30' + 30'' bonus
18,121.0,670407,5216184,2251,1632051,2493,Cala Gonone - Dorgali (NU),offline,90'/40 moves + 30' + 30'' bonus
19,118.5,670407,2813408,2484,2512041,2247,Cala Gonone - Dorgali (NU),offline,90'/40 moves + 30' + 30'' bonus
19,118.5,670407,2813408,2484,2512041,2247,Cala Gonone - Dorgali (NU),offline,90'/40 moves + 30' + 30'' bonus
19,118.5,670407,2813408,2484,2512041,2247,Cala Gonone - Dorgali (NU),offline,90'/40 moves + 30' + 30'' bonus
20,0.0,670407,1525999,2233,8608059,2484,Cala Gonone - Dorgali (NU),offline,90'/40 moves + 30' + 30'' bonus
20,0.0,670407,1525999,2233,8608059,2484,Cala Gonone - Dorgali (NU),offline,90'/40 moves + 30' + 30'' bonus
20,0.0,670407,1525999,2233,8608059,2484,Cala Gonone - Dorgali (NU),offline,90'/40 moves + 30' + 30'' bonus
20,0.0,670407,1525999,2233,8608059,2484,Cala Gonone - Dorgali (NU),offline,90'/40 moves + 30' + 30'' bonus
21,0.0,670407,14187086,2473,3219941,2229,Cala Gonone - Dorgali (NU),offline,90'/40 moves + 30' + 30'' bonus
21,0.0,670407,14187086,2473,3219941,2229,Cala Gonone - Dorgali (NU),offline,90'/40 moves + 30' + 30'' bonus
22,123.0,670407,5126444,2225,2815532,2471,Cala Gonone - Dorgali (NU),offline,90'/40 moves + 30' + 30'' bonus
22,123.0,670407,5126444,2225,2815532,2471,Cala Gonone - Dorgali (NU),offline,90'/40 moves + 30' + 30'' bonus
23,0.0,670407,2308649,2471,24239305,2206,Cala Gonone - Dorgali (NU),offline,90'/40 moves + 30' + 30'' bonus
23,0.0,670407,2308649,2471,24239305,2206,Cala Gonone - Dorgali (NU),offline,90'/40 moves + 30' + 30'' bonus
23,0.0,670407,2308649,2471,24239305,2206,Cala Gonone - Dorgali (NU),offline,90'/40 moves + 30' + 30'' bonus
23,0.0,670407,2308649,2471,24239305,2206,Cala Gonone - Dorgali (NU),offline,90'/40 moves + 30' + 30'' bonus
23,0.0,670407,2308649,2471,24239305,2206,Cala Gonone - Dorgali (NU),offline,90'/40 moves + 30' + 30'' bonus
23,0.0,670407,2308649,2471,24239305,2206,Cala Gonone - Dorgali (NU),offline,90'/40 moves + 30' + 30'' bonus
24,0.0,670407,1341332,2202,13710427,2467,Cala Gonone - Dorgali (NU),offline,90'/40 moves + 30' + 30'' bonus
24,0.0,670407,1341332,2202,13710427,2467,Cala Gonone - Dorgali (NU),offline,90'/40 moves + 30' + 30'' bonus
24,0.0,670407,1341332,2202,13710427,2467,Cala Gonone - Dorgali (NU),offline,90'/40 moves + 30' + 30'' bonus
