,medium,time_control,age_diff,home_country_diff,rating_diff,players_sex,upset
203,offline,standard,1,0,643.0,FF,0
204,offline,standard,1,0,580.0,FF,1
205,offline,standard,1,0,585.0,FF,0
206,offline,standard,0,0,349.0,FF,0
207,offline,standard,-1,0,354.0,FF,0
208,offline,standard,2,0,374.0,FF,0
209,offline,standard,1,0,303.0,FF,0
210,offline,standard,0,0,934.0,FF,0
211,offline,standard,0,0,585.0,FF,0
212,offline,standard,1,0,506.0,FF,0
213,offline,standard,2,0,449.0,MM,0
214,offline,standard,0,0,550.0,MM,0
215,offline,standard,1,0,533.0,MM,0
216,offline,standard,2,1,358.0,MM,1
217,offline,standard,1,0,319.0,MM,0
218,offline,standard,-1,0,206.0,MM,0
219,offline,standard,0,0,609.0,MM,0
220,offline,standard,1,0,494.0,MM,0
221,offline,standard,0,0,289.0,MM,1
222,offline,standard,0,0,272.0,MM,0
223,offline,standard,0,0,663.0,MM,1
224,offline,standard,0,0,270.0,MM,0
225,offline,standard,0,0,555.0,MM,0
226,offline,standard,1,0,621.0,MM,0
227,offline,blitz,-1,0,370.0,MM,0
228,offline,blitz,-1,-1,391.0,MM,0
229,offline,blitz,-1,0,347.0,MM,1
230,offline,blitz,1,0,290.0,MM,0
231,offline,blitz,-1,0,358.0,MM,0
232,offline,blitz,1,0,370.0,MM,0
233,offline,blitz,-2,0,350.0,MM,0
234,offline,blitz,0,0,233.0,MM,1
235,offline,blitz,1,0,547.0,MM,0
236,offline,blitz,2,1,266.0,MM,1
237,offline,blitz,1,0,265.0,FF,0
238,offline,blitz,0,0,391.0,FF,0
239,offline,blitz,3,0,497.0,FF,0
240,offline,blitz,2,0,271.0,FF,0
241,offline,blitz,-2,0,326.0,FF,0
242,offline,blitz,0,0,556.0,FF,0
243,offline,blitz,-1,0,276.0,FF,1
244,offline,blitz,1,0,486.0,FF,0
245,offline,blitz,1,0,341.0,FF,0
246,offline,blitz,2,0,295.0,FF,0
247,offline,standard,25,-1,300.0,MM,1
248,offline,standard,21,0,284.0,MM,1
249,offline,standard,41,0,206.0,MM,0
